분야 및 연도,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
B 화학산업_9 불소화합물 생산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B 화학산업_10 기타,1057.88224,1047.87448,1138.37327,991.20358,1473.21527,1579.63312,1527.97052,1302.75791,1272.87032,1230.06319,973.90426,1016.91433,464.78691,325.83267,413.63678,399.41139,215.71492,219.43379,223.604,210.40833,204.95657,74.45587,1.8084,1.7732,1.7237,1.5763,1.5565,1.5653,1.3288,1.19944,1.18228,1.0824,1.0032
C 금속산업,13064.4831,14268.54285,14868.81442,16695.57215,16296.95214,17488.6228,18628.05662,17757.78495,17404.73569,17305.59385,18480.55906,19007.1708,18581.26169,18901.32173,19475.26827,23102.62982,23326.34745,20123.88991,21432.88408,18155.17619,20342.07657,21914.44004,21573.58618,33003.30845,33666.34143,33557.05524,28277.23618,32968.52901,31596.9406,31765.03315,29111.09907,28044.98826,27770.50693
C 금속산업_1 철강생산,13041.2203,14268.54285,14868.81442,16695.57215,16296.95214,17488.6228,18628.05662,17757.78495,17404.73569,17305.59385,18480.55906,19007.1708,18581.26169,18901.32173,19475.26827,23102.62982,23326.34745,20055.63167,21365.89629,18078.69868,20254.68524,21835.31127,21482.30522,32902.123,33569.7592,33478.33794,28191.88865,32883.48542,31511.65975,31687.85286,29029.18979,27967.95732,27709.85755
C 금속산업_2 합금철 생산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.20992,6.39949,12.81811,15.67635,18.4841,18.87798,16.16011,8.73043,7.74061,2.80014,1.57801,0.91246,0.79765,0.77052,1.91921,1.91153
C 금속산업_3 알루미늄 생산,23.2628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C 금속산업_4 마그네슘 생산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.18892,8.43782,0,0,0,0,0,0,0,0
C 금속산업_5 납 생산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C 금속산업_6 아연 생산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C 금속산업_7 기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.04832,60.5883,63.65939,71.71497,60.64467,72.40298,77.83642,79.41398,70.97668,82.54739,83.46558,84.36838,76.38264,81.13876,75.11173,58.73784
D 비에너지 연료 및 용매 사용,356.72414,360.46519,388.23365,409.06607,446.58635,482.9488,530.05091,529.86702,408.71004,485.67787,510.55011,485.63583,486.14962,523.19611,536.056,534.79802,520.45788,522.48628,517.62534,470.00741,545.53467,544.59141,556.57652,573.3569,583.01643,606.56552,605.5375,620.59063,599.04705,569.54343,548.75445,573.37785,613.44759
D 비에너지 연료 및 용매 사용_1 윤활유 사용,356.72414,360.46519,388.23365,409.06607,446.58635,482.9488,530.05091,522.39447,403.29584,479.54828,504.96581,479.3472,479.37342,515.48776,526.19904,526.80106,511.37833,510.79696,507.83839,460.88241,534.96233,535.52844,547.58908,563.6203,573.1386,597.27289,594.96823,609.74135,589.58863,556.89801,536.73353,558.32285,598.78006
D 비에너지 연료 및 용매 사용_2 파라핀 왁스 사용,0,0,0,0,0,0,0,7.47254,5.4142,6.12959,5.5843,6.28863,6.7762,7.70835,9.85696,7.99696,9.07955,11.68932,9.78695,9.12499,10.57234,9.06297,8.98744,9.7366,9.87783,9.29263,10.56927,10.84928,9.45843,12.64542,12.02092,15.05501,14.66753
D 비에너지 연료 및 용매 사용_3 기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E 전자 산업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F 오존층파괴물질의 대체물질 사용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F 오존층파괴물질의 대체물질 사용_1 냉장 및 냉방,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F 오존층파괴물질의 대체물질 사용_2 발포제,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
